"zip","city","county","pop"
"15668","Murrysville","Westmoreland","12117"
"15209","Pittsburgh","Allegheny","12011"
"19344","Honey Brook","Chester","11988"
"17756","Muncy","Lycoming","11978"
"17003","Annville","Lebanon","11903"
"18431","Honesdale","Wayne","11903"
"18960","Sellersville","Bucks","11898"
"18428","Hawley","Pike","11898"
"18202","Hazleton","Luzerne","11853"
"19030","Fairless Hills","Bucks","11792"
"15232","Pittsburgh","Allegheny","11764"
"19086","Wallingford","Delaware","11746"
"18055","Hellertown","Northampton","11742"
"18657","Tunkhannock","Wyoming","11720"
"18512","Scranton","Lackawanna","11666"
"18014","Bath","Northampton","11660"
"19312","Berwyn","Chester","11618"
"17222","Fayetteville","Franklin","11576"
"17847","Milton","Northumberland","11572"
"19078","Ridley Park","Delaware","11562"
"17551","Millersville","Lancaster","11538"
"16802","University Park","Centre","11485"
"15063","Monongahela","Washington","11481"
"15065","Natrona Heights","Allegheny","11463"
"17319","Etters","York","11440"
"19350","Landenberg","Chester","11424"
"15522","Bedford","Bedford","11402"
"17972","Schuylkill Haven","Schuylkill","11308"
"19129","Philadelphia","Philadelphia","11275"
"19540","Mohnton","Berks","11270"
"19475","Spring City","Chester","11260"
"19526","Hamburg","Berks","11256"
"15003","Ambridge","Beaver","11213"
"18080","Slatington","Lehigh","11211"
"16511","Erie","Erie","11207"
"19352","Lincoln University","Chester","11109"
"17340","Littlestown","Adams","11083"
"16407","Corry","Erie","11034"
"15902","Johnstown","Cambria","10969"
"17313","Dallastown","York","10907"
"19444","Lafayette Hill","Montgomery","10890"
"19118","Philadelphia","Philadelphia","10884"
"17540","Leola","Lancaster","10875"
"17113","Harrisburg","Dauphin","10852"
"15906","Johnstown","Cambria","10803"
"15071","Oakdale","Allegheny","10794"
"18073","Pennsburg","Montgomery","10745"
"19611","Reading","Berks","10720"
"18447","Olyphant","Lackawanna","10692"
"15224","Pittsburgh","Allegheny","10675"
"16412","Edinboro","Erie","10629"
"18031","Breinigsville","Lehigh","10622"
"15207","Pittsburgh","Allegheny","10602"
