year,region,wine,beer,vodka,champagne,brandy,npg,birth_rate,death_rate,gdw,urbanization,total liters
2014,Primorsky Krai,6.7,66.1,11.4,2.4,1.1,-0.6,12.8,13.4,64.84,76.7,87.7
2014,Pskov Oblast,12.1,47.5,8.4,1.9,0.7,-7.5,10.9,18.4,76.17,70.2,70.60000000000001
2014,Republic of Adygea,3.7,28.7,4.1,1.5,0.7,-0.6,12.7,13.3,73.96,47.0,38.7
2014,Republic of Bashkortostan,3.2,75.1,9.5,0.9,0.4,1.7,14.8,13.1,68.73,61.4,89.10000000000001
2014,Republic of Buryatia,4.9,39.3,9.0,0.8,0.3,6.0,17.5,11.5,69.59,58.8,54.29999999999999
2014,Republic of Crimea,3.7,16.2,3.9,0.8,1.1,-2.4,12.9,,,,25.7
2014,Republic of Dagestan,0.4,2.2,2.9,0.2,0.3,13.6,19.1,5.5,62.04,45.1,6.0
2014,Republic of Ingushetia,,0.4,,,,18.0,21.5,3.5,68.69,40.4,
2014,Republic of Kalmykia,3.1,17.4,3.6,0.3,0.5,4.2,14.1,9.9,66.01,44.9,24.900000000000002
2014,Republic of Karelia,12.3,57.5,13.5,1.6,1.2,-2.3,12.3,14.6,71.86,79.2,86.1
2014,Republic of Khakassia,4.1,82.2,4.6,1.2,0.6,2.1,15.2,13.1,71.62,68.1,92.69999999999999
2014,Republic of Mordovia,8.2,55.9,7.4,0.7,0.4,-4.3,10.0,14.3,67.19,60.7,72.60000000000001
2014,Republic of North Ossetia-Alania,0.6,19.8,1.3,0.6,0.1,4.6,15.3,10.7,72.42,64.0,22.400000000000006
2014,Republic of Tatarstan,4.2,70.9,9.3,0.8,0.6,2.5,14.7,12.2,68.11,76.1,85.8
2014,Rostov Oblast,4.5,55.0,3.9,1.3,0.5,-2.0,12.1,14.1,70.01,67.8,65.2
2014,Ryazan Oblast,6.7,52.1,5.6,1.4,0.6,-5.1,11.0,16.1,75.35,71.1,66.4
2014,Saint Petersburg,8.2,41.8,7.7,2.9,1.3,1.3,13.0,11.7,63.69,100.0,61.9
2014,Sakha (Yakutia) Republic,5.4,56.1,9.8,1.9,0.6,9.2,17.8,8.6,62.81,65.2,73.8
2014,Sakhalin Oblast,8.0,76.7,13.4,3.8,1.3,0.6,13.6,13.0,64.7,81.2,103.2
2014,Samara Oblast,5.6,59.9,4.9,1.7,0.6,-1.7,12.6,14.3,69.32,80.3,72.7
2014,Saratov Oblast,5.1,37.8,3.4,1.5,0.5,-2.5,11.6,14.1,71.05,75.0,48.3
2014,Sevastopol,5.6,26.0,5.1,2.1,1.3,-1.7,12.6,,,,40.1
2014,Smolensk Oblast,8.7,55.5,8.8,2.1,0.9,-5.3,10.8,16.1,69.23,72.1,76.0
2014,Stavropol Krai,4.8,59.3,3.0,1.4,0.6,1.3,13.0,11.7,68.07,57.9,69.1
2014,Sverdlovsk Oblast,7.3,73.7,8.4,1.8,0.9,0.5,14.5,14.0,71.54,84.2,92.10000000000001
2014,Tambov Oblast,5.2,61.7,3.9,0.8,0.4,-6.5,9.8,16.3,73.39,59.4,72.00000000000001
2014,Tomsk Oblast,5.5,45.1,6.8,1.5,0.7,2.0,13.7,11.7,63.17,71.6,59.6
2014,Tula Oblast,5.3,47.8,5.6,1.3,0.6,-7.1,10.0,17.1,75.13,76.6,60.599999999999994
2014,Tuva Republic,2.1,84.6,4.0,0.7,0.3,14.4,25.3,10.9,76.01,54.0,91.69999999999999
2014,Tver Oblast,8.1,64.2,9.4,1.7,0.8,-6.5,11.3,17.8,75.86,74.9,84.2
2014,Tyumen Oblast,5.2,77.9,9.9,2.0,1.2,5.4,17.0,11.6,65.67,64.3,96.20000000000002
2014,Udmurt Republic,5.9,68.8,9.3,1.0,0.6,1.7,14.5,12.8,70.83,65.3,85.6
2014,Ulyanovsk Oblast,6.4,47.6,4.9,1.2,0.5,-2.7,11.9,14.6,70.37,74.2,60.6
2014,Vladimir Oblast,9.6,51.4,7.9,1.0,0.7,-5.4,11.2,16.6,74.64,77.7,70.60000000000001
2014,Volgograd Oblast,5.5,72.7,3.6,1.6,0.5,-2.1,11.6,13.7,71.67,76.4,83.89999999999999
2014,Vologda Oblast,10.0,63.7,11.1,1.2,0.6,-1.2,13.6,14.8,72.08,71.5,86.6
2014,Voronezh Oblast,5.8,63.9,4.9,1.6,0.6,-4.8,10.9,15.7,71.43,66.7,76.8
2014,Yamalo-Nenets Autonomous Okrug,5.0,86.2,10.2,2.0,1.5,11.8,16.9,5.1,45.76,83.9,104.9
2014,Yaroslavl Oblast,9.9,60.9,9.8,1.5,1.0,-3.6,11.9,15.5,75.14,81.8,83.1
2014,Zabaykalsky Krai,6.6,38.8,9.2,1.1,0.3,3.5,16.0,12.5,67.69,67.1,55.99999999999999
2015,Altai Krai,4.4,45.8,4.5,0.9,0.3,-1.5,12.6,14.1,77.33,56.0,55.89999999999999
2015,Altai Republic,4.3,40.3,7.7,1.0,0.3,7.9,18.8,10.9,79.96,29.2,53.599999999999994
2015,Amur Oblast,6.0,50.7,6.7,1.5,0.5,-0.6,13.3,13.9,70.29,67.3,65.4
2015,Arkhangelsk Oblast,9.0,49.1,11.8,1.8,0.9,-1.4,12.2,13.6,74.91,77.2,72.60000000000001
2015,Astrakhan Oblast,4.7,37.4,4.7,0.9,0.6,2.2,14.5,12.3,72.13,66.5,48.300000000000004
2015,Belgorod Oblast,2.7,53.4,4.6,1.1,0.3,-2.4,11.5,13.9,72.67,66.9,62.1
2015,Bryansk Oblast,8.3,39.5,5.7,1.2,0.5,-4.4,11.4,15.8,74.39,69.8,55.2
2015,Chechen Republic,,2.2,,,,18.2,23.1,4.9,78.2,34.7,
2015,Chelyabinsk Oblast,4.8,43.6,4.4,1.4,0.5,0.0,13.9,13.9,74.67,82.5,54.699999999999996
2015,Chukotka Autonomous Okrug,4.7,31.5,11.2,2.6,1.3,4.1,13.6,9.5,54.09,68.3,51.300000000000004
2015,Chuvash Republic,6.3,41.4,8.2,0.5,0.4,0.7,13.8,13.1,70.99,60.7,56.79999999999999
2015,Irkutsk Oblast,6.0,66.9,6.8,1.4,0.5,1.7,15.3,13.6,72.92,78.9,81.60000000000001
2015,Ivanovo Oblast,7.7,72.1,6.6,0.9,0.5,-4.6,11.4,16.0,76.11,81.2,87.8
2015,Jewish Autonomous Oblast,5.4,59.0,8.0,1.6,0.4,-1.4,14.0,15.4,71.77,68.2,74.4
