Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population,location,date,vaccine,total_vaccinations
Estonia,165345,1400.0,149555.0,14390.0,124537,1054.0,1982689.0,1493355.0,1327674,Estonia,2021-10-01,Pfizer/BioNTech,914311
Czechia,1700078,30504.0,1659115.0,10459.0,158377,2842.0,38859317.0,3620092.0,10734345,Czechia,2021-10-01,Oxford/AstraZeneca,881490
Romania,1365788,39629.0,1177704.0,148455.0,71606,2078.0,13504117.0,707996.0,19073726,Romania,2021-10-01,Oxford/AstraZeneca,848157
Slovakia,425971,12735.0,395874.0,17362.0,77974,2331.0,3696429.0,676628.0,5463019,Slovakia,2021-10-01,Oxford/AstraZeneca,841037
Netherlands,2026402,18209.0,1950623.0,57570.0,117929,1060.0,17632552.0,1026146.0,17183273,Netherlands,2021-10-01,Johnson&Johnson,828112
Finland,147297,1100.0,46000.0,100197.0,26532,198.0,7202399.0,1297330.0,5551709,Finland,2021-10-01,Moderna,819402
Romania,1365788,39629.0,1177704.0,148455.0,71606,2078.0,13504117.0,707996.0,19073726,Romania,2021-10-01,Johnson&Johnson,796578
Cyprus,119812,560.0,90755.0,28497.0,98322,460.0,9420908.0,7731099.0,1218573,Cyprus,2021-10-01,Pfizer/BioNTech,755486
Romania,1365788,39629.0,1177704.0,148455.0,71606,2078.0,13504117.0,707996.0,19073726,Romania,2021-10-01,Moderna,741546
Hungary,829456,30303.0,789010.0,10143.0,86141,3147.0,7071702.0,734415.0,9629021,Hungary,2021-10-01,Moderna,685922
Ireland,404514,5280.0,360033.0,39201.0,80772,1054.0,7616896.0,1520908.0,5008123,Ireland,2021-10-01,Moderna,568645
Chile,1663383,37571.0,1617035.0,8777.0,86072,1944.0,22435648.0,1160933.0,19325528,Chile,2021-10-01,CanSino,567420
Finland,147297,1100.0,46000.0,100197.0,26532,198.0,7202399.0,1297330.0,5551709,Finland,2021-10-01,Oxford/AstraZeneca,553123
